Bathrooms,Bedrooms,Floor area,Furnishing,Parkings,Price,Swimming pool,Type,State,PostalCode
4,4,3700,1,2,288000000,1,0,0,00300
3,4,3700,0,2,285000000,1,0,0,00300
3,3,2260,0,2,230000000,1,0,1,00300
4,4,2990,1,2,225000000,1,0,1,00300
3,3,2271,1,2,225000000,1,0,1,00300
4,4,2500,0,2,190000000,1,0,0,00300
4,4,3850,0,2,185000000,1,0,0,00300
4,4,2400,1,2,115000000,1,0,0,00300
4,4,2450,1,2,115000000,1,0,0,00300
3,4,2790,0,2,82000000,1,0,1,00300
4,1,3,0,2,82000000,0,0,0,00300
2,3,1650,1,2,79000000,1,0,0,00300
3,3,1850,0,2,75000000,1,0,0,00300
2,3,2050,0,2,72000000,1,0,0,00300
3,3,1570,1,2,65000000,1,0,0,00300
2,3,1675,1,2,52000000,1,0,0,00300
3,3,1750,1,2,48900000,1,0,0,00300
3,4,1600,1,2,46000000,0,0,0,00300
2,3,1300,1,2,46000000,1,0,1,00300
4,3,1800,0,2,45000000,0,0,0,00400
4,3,1800,0,2,45000000,0,0,1,00400
4,4,4370,1,2,260000000,0,0,0,00500
5,4,4370,1,2,210000000,1,0,0,00500
3,4,2125,1,2,80000000,1,0,1,00500
4,4,2243,0,2,68000000,1,0,1,00500
2,3,1500,1,2,65000000,1,0,0,00500
2,3,1313,0,2,60000000,1,0,1,00500
2,3,1510,0,2,40000000,1,0,1,00500
2,3,1680,0,2,38640000,1,0,1,00600
2,3,1680,0,2,36960000,1,0,1,00600
2,2,1310,0,2,90000000,1,0,0,00700
2,3,1290,0,2,70000000,1,0,0,00700
2,2,1157,0,2,55000000,1,0,1,00700
2,3,1800,0,2,53000000,1,0,0,00700
5,4,2135,0,2,59500000,1,0,0,10107
3,4,2124,0,2,44000000,1,0,1,10107
5,4,5250,0,2,145000000,1,0,0,10107
5,4,4000,0,2,110000000,1,0,0,10107
4,4,2124,0,2,63000000,1,0,1,10107
3,3,1680,0,2,48000000,1,0,1,10107
2,3,1990,0,2,43000000,1,0,0,10107
4,3,2418,1,2,68000000,1,0,1,10107
2,3,1720,0,2,50000000,1,0,1,10107
4,3,1790,0,2,46500000,1,0,1,10107
4,3,1920,0,2,44500000,1,0,0,10107
5,4,5000,1,2,110000000,1,0,0,10107
5,4,3950,1,2,78000000,1,0,0,10107
3,3,1200,0,2,32000000,1,0,1,10107
2,3,1384,0,2,33000000,1,0,1,10107
3,4,1990,0,2,67000000,1,0,0,10107
4,4,2146,0,2,65000000,1,0,1,10107
3,4,2500,0,2,57000000,1,0,0,10107
4,4,2900,0,2,90000000,1,0,0,10107
3,3,2000,0,2,45000000,1,0,0,10107
3,3,2418,0,2,63000000,1,0,1,10107
2,3,1700,0,2,49000000,0,0,0,10107
4,4,4000,0,2,100000000,0,0,0,10107
3,3,1680,1,2,550000000,1,0,1,10107
3,3,2387,0,2,59000000,1,0,0,10107
3,3,1700,0,2,52000000,1,0,1,10107
3,3,1700,0,2,47000000,1,0,0,10107
2,2,1300,0,2,37000000,1,0,0,10107
2,3,1410,0,2,26000000,1,0,1,10107
4,3,1690,1,2,53000000,1,0,1,10107
2,3,2419,0,2,61000000,1,0,0,10107
2,3,2419,0,2,58000000,1,0,0,10107
2,2,1034,1,2,37000000,1,0,0,10107
4,4,3950,0,2,78000000,1,0,0,10107
5,5,2135,1,2,65000000,1,0,0,10107
4,4,2400,1,2,52000000,1,0,0,10107
3,3,1780,1,2,60000000,1,0,1,10107
3,3,1400,1,2,39000000,1,0,1,10107
2,3,2000,0,2,65000000,1,0,1,10107
2,3,2300,0,2,58000000,1,0,0,10107
4,4,2146,1,2,55000000,1,0,1,10107
3,3,1680,1,2,55000000,1,0,0,10107
3,4,2123,0,2,55000000,1,0,0,10107
3,3,1680,0,2,53000000,1,0,1,10107
3,3,1700,0,2,45000000,1,0,1,10107
3,4,2400,1,2,55000000,1,0,0,10107
2,3,1470,1,2,43000000,1,0,0,10107
4,5,2140,1,2,52500000,1,0,0,10107
2,3,1680,1,2,55000000,1,0,1,10107
4,4,3500,0,1,360548200,0,0,0,00100
2,2,1779,0,1,142000000,0,0,0,00100
3,3,1630,1,1,49000000,1,0,0,00100
2,2,1200,1,1,35000000,1,0,0,00100
3,3,1285,0,1,28300000,1,0,1,00100
2,3,1450,0,1,29000000,0,0,0,00100
2,3,1700,1,1,50000000,1,0,0,00100
2,3,1700,1,1,5100000,1,0,0,00100
3,3,1130,0,1,35000000,1,0,1,00101
3,3,1101,0,1,28000000,0,0,0,00101
2,2,901,0,1,24000000,1,0,1,00101
2,2,1084,0,1,24000000,1,0,1,00101
2,3,1500,0,1,32000000,1,0,0,00101
2,3,1300,1,1,25000000,1,0,1,00101
2,3,1472,0,1,38000000,1,0,0,00101
4,4,3541,0,1,396000000,1,0,1,00200
3,5,2726,1,1,255000000,1,0,1,00200
3,3,2327,1,1,252000000,1,0,1,00200
4,4,2745,0,1,200000000,0,0,0,00200
3,3,2086,0,1,160000000,0,0,0,00200
2,2,1729,1,1,150000000,1,0,1,00200
2,2,1744,0,1,135000000,1,0,1,00200
2,2,1744,0,1,127480000,1,0,1,00200
2,2,1744,0,1,127021440,1,0,1,00200
2,2,1744,0,1,126571340,0,0,0,00200
2,2,1744,0,1,126160510,0,0,0,00200
2,2,1275,0,1,102510000,1,0,1,00200
2,3,1600,0,1,98000000,1,0,1,00200
2,3,160,0,1,97000000,1,0,1,00200
3,3,2500,0,1,82000000,1,0,0,00200
4,3,2000,1,1,78000000,1,0,0,00200
2,2,1250,0,1,75000000,1,0,1,00200
2,2,1300,0,1,73000000,1,0,1,00200
2,2,993,1,1,69676810,1,0,1,00200
2,2,973,0,1,68000000,1,0,1,00200
2,2,900,0,1,58000000,1,0,1,00200
2,3,1310,1,1,57450000,1,0,0,00200
2,3,1600,0,1,56000000,0,0,0,00200
2,3,1312,1,1,53000000,1,0,0,00200
2,3,1312,1,1,52500000,1,0,0,00200
2,3,1230,1,1,52000000,1,0,0,00200
2,3,1500,1,1,52000000,1,0,0,00200
2,3,1300,1,1,52000000,1,0,0,00200
2,3,1300,1,1,51000000,1,0,0,00200
2,3,1326,0,1,50000000,1,0,0,00200
2,3,1325,1,1,50000000,1,0,0,00200
3,3,1268,1,1,50000000,1,0,0,00200
2,3,1230,0,1,49800000,1,0,0,00200
2,2,1013,1,1,49000000,1,0,0,00200
2,3,1228,1,1,47000000,1,0,0,00200
2,3,1228,1,1,47000000,1,0,0,00200
2,3,1228,1,1,47000000,1,0,0,00200
2,3,1312,1,1,46500000,1,0,0,00200
2,3,1312,1,1,46500000,1,0,0,00200
2,2,837,0,1,45000000,1,0,1,00200
2,2,907,1,1,42000000,1,0,0,00200
2,2,904,1,1,41000000,1,0,0,00200
2,2,904,1,1,40000000,1,0,0,00200
2,2,915,1,1,38000000,1,0,0,00200
2,2,907,1,1,38000000,1,0,0,00200
2,2,915,1,1,38000000,1,0,0,00200
2,2,1744,0,1,16944966,1,0,1,00200
1,2,600,0,1,10000000,0,0,1,00200
4,4,5002.1,0,1,271283400,1,0,0,00300
3,3,1872,0,1,95000000,0,0,0,00300
3,3,1872,1,1,95000000,1,0,0,00300
4,3,1850,1,1,93000000,1,0,1,00300
2,3,1400,1,1,90000000,1,0,0,00300
3,3,1750,0,1,90000000,0,0,0,00300
3,3,1600,0,1,87200000,1,0,1,00300
2,3,1630,1,1,82000000,1,0,0,00300
2,3,1581,0,1,82000000,1,0,1,00300
2,4,2700,0,1,80000000,1,0,1,00300
3,3,2100,0,1,80000000,1,0,0,00300
3,3,2000,0,1,80000000,1,0,0,00300
3,3,2000,0,1,80000000,1,0,0,00300
3,3,2260,0,1,79500000,1,0,1,00300
3,4,1953.48,1,1,79269190,1,0,0,00300
2,3,1650,1,1,79000000,1,0,0,00300
2,3,1650,1,1,78000000,1,0,0,00300
3,3,1589.31,1,1,76089568,1,0,0,00300
2,2,1503,1,1,75000000,1,0,0,00300
2,2,1300,1,1,75000000,1,0,0,00300
2,2,1300,1,1,72625000,1,0,0,00300
2,3,1650,0,1,72000000,1,0,0,00300
2,3,1650,0,1,72000000,1,0,0,00300
2,3,4200,0,1,70000000,1,0,0,00300
4,4,1925,0,1,69000000,1,0,1,00300
3,3,1500,1,1,69000000,1,0,1,00300
2,3,1750,1,1,68000000,1,0,0,00300
2,3,1890,1,1,68000000,1,0,1,00300
2,2,1330,1,1,65000000,1,0,0,00300
2,2,1450,1,1,65000000,1,0,0,00300
2,2,1250,1,1,65000000,1,0,0,00300
3,3,1850,0,1,65000000,1,0,1,00300
2,3,1135,0,1,65000000,1,0,0,00300
2,2,1400,0,1,65000000,1,0,0,00300
3,3,1625,1,1,65000000,1,0,0,00300
4,4,1925,0,1,64000000,1,0,1,00300
2,2,1300,1,1,63000000,1,0,0,00300
2,2,1200,1,1,63000000,1,0,0,00300
2,2,1323,1,1,63000000,1,0,0,00300
2,2,1100,0,1,60000000,1,0,0,00300
2,3,2400,0,1,60000000,1,0,0,00300
2,2,1100,0,1,60000000,0,0,0,00300
2,3,2500,0,1,60000000,1,0,0,00300
3,3,1625,0,1,60000000,0,0,0,00300
2,2,1200,1,1,60000000,1,0,0,00300
2,2,1245,0,1,60000000,0,0,0,00300
2,3,1400,1,1,59000000,1,0,0,00300
2,3,1400,1,1,59000000,1,0,0,00300
2,2,1000,1,1,57000000,1,0,0,00300
3,3,1453,0,1,56000000,1,0,1,00300
2,2,1100,1,1,56000000,1,0,0,00300
3,3,1750,1,1,56000000,1,0,0,00300
3,3,1700,1,1,55000000,0,0,0,00300
2,2,1250,1,1,55000000,1,0,0,00300
2,2,1100,1,1,52000000,1,0,0,00300
2,3,1750,0,1,52000000,0,0,0,00300
2,3,1170,0,1,51000000,1,0,1,00300
2,3,1650,0,1,50000000,0,0,0,00300
2,2,1200,0,1,50000000,1,0,0,00300
3,3,1453,0,1,49000000,1,0,1,00300
3,3,1453,0,1,49000000,1,0,1,00300
2,3,1750,0,1,47000000,1,0,1,00300
2,3,1113,0,1,47000000,1,0,1,00300
2,3,1600,1,1,47000000,1,0,0,00300
3,3,1582,0,1,46900000,1,0,0,00300
3,3,1485,0,1,46000000,1,0,1,00300
2,3,1300,0,1,45000000,1,0,1,00300
3,3,1552,0,1,45000000,0,0,1,00300
2,3,1300,1,1,44000000,1,0,0,00300
2,3,1300,1,1,44000000,1,0,0,00300
2,3,1300,1,1,44000000,1,0,0,00300
